date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Tamil Nadu,Krishnagiri,635307,248,118
01-03-2025,Tamil Nadu,Krishnagiri,635204,263,144
01-03-2025,Tamil Nadu,Krishnagiri,635201,138,133
01-03-2025,Tamil Nadu,Krishnagiri,635112,303,237
01-03-2025,Tamil Nadu,Krishnagiri,635304,189,87
01-03-2025,Tamil Nadu,Krishnagiri,635206,379,339
01-03-2025,Tamil Nadu,Krishnagiri,635207,291,111
01-04-2025,Tamil Nadu,Krishnagiri,635110,148,99
01-04-2025,Tamil Nadu,Krishnagiri,635122,204,131
01-03-2025,Tamil Nadu,Krishnagiri,635113,464,191
01-04-2025,Tamil Nadu,Krishnagiri,635121,239,130
01-04-2025,Tamil Nadu,Krishnagiri,635108,97,58
01-04-2025,Tamil Nadu,Krishnagiri,635207,217,157
01-04-2025,Tamil Nadu,Krishnagiri,635115,146,125
01-04-2025,Tamil Nadu,Krishnagiri,635106,28,39
01-04-2025,Tamil Nadu,Krishnagiri,635123,114,67
01-04-2025,Tamil Nadu,Krishnagiri,635113,150,169
01-04-2025,Tamil Nadu,Krishnagiri,636902,21,21
01-04-2025,Tamil Nadu,Krishnagiri,635002,111,84
01-04-2025,Tamil Nadu,Krishnagiri,635105,145,97
01-04-2025,Tamil Nadu,Krishnagiri,635103,69,71
01-05-2025,Tamil Nadu,Krishnagiri,635207,188,133
01-05-2025,Tamil Nadu,Krishnagiri,635101,120,67
01-05-2025,Tamil Nadu,Krishnagiri,635109,560,580
01-05-2025,Tamil Nadu,Krishnagiri,635203,338,175
01-06-2025,Tamil Nadu,Krishnagiri,635106,37,42
01-06-2025,Tamil Nadu,Krishnagiri,635103,93,105
01-06-2025,Tamil Nadu,Krishnagiri,635101,90,92
01-06-2025,Tamil Nadu,Krishnagiri,635118,115,175
01-05-2025,Tamil Nadu,Krishnagiri,635002,141,89
01-06-2025,Tamil Nadu,Krishnagiri,635001,463,502
05-09-2025,Tamil Nadu,Krishnagiri,635106,1,1
19-10-2025,Tamil Nadu,Krishnagiri,635116,11,5
19-10-2025,Tamil Nadu,Krishnagiri,635117,29,12
19-10-2025,Tamil Nadu,Krishnagiri,635119,12,0
19-10-2025,Tamil Nadu,Krishnagiri,635120,28,3
19-10-2025,Tamil Nadu,Krishnagiri,635124,5,1
19-10-2025,Tamil Nadu,Krishnagiri,635304,19,5
20-10-2025,Tamil Nadu,Krishnagiri,635002,1,0
20-10-2025,Tamil Nadu,Krishnagiri,635204,1,0
26-10-2025,Tamil Nadu,Krishnagiri,635106,7,1
26-10-2025,Tamil Nadu,Krishnagiri,635203,56,15
26-10-2025,Tamil Nadu,Krishnagiri,636902,5,1
18-10-2025,Tamil Nadu,Krishnagiri,636812,1,0
28-10-2025,Tamil Nadu,Krishnagiri,635202,2,0
02-11-2025,Tamil Nadu,Krishnagiri,635108,13,2
02-11-2025,Tamil Nadu,Krishnagiri,635301,1,0
05-11-2025,Tamil Nadu,Krishnagiri,636812,3,0
09-11-2025,Tamil Nadu,Krishnagiri,635116,2,0
16-11-2025,Tamil Nadu,Krishnagiri,635002,2,2
16-11-2025,Tamil Nadu,Krishnagiri,635111,1,0
16-11-2025,Tamil Nadu,Krishnagiri,635123,3,1
14-12-2025,Tamil Nadu,Krishnagiri,635111,1,0
22-12-2025,Tamil Nadu,Krishnagiri,636812,0,1
25-12-2025,Tamil Nadu,Krishnagiri,635106,1,0
25-12-2025,Tamil Nadu,Krishnagiri,635119,0,1
25-12-2025,Tamil Nadu,Krishnagiri,635121,0,2
25-12-2025,Tamil Nadu,Krishnagiri,635122,0,1
25-12-2025,Tamil Nadu,Krishnagiri,635123,0,1
25-12-2025,Tamil Nadu,Krishnagiri,635203,1,8
25-12-2025,Tamil Nadu,Krishnagiri,635306,0,2
07-12-2025,Tamil Nadu,Krishnagiri,635123,1,1
06-12-2025,Tamil Nadu,Krishnagiri,636806,1,1
25-12-2025,Tamil Nadu,Krishnagiri,636806,3,1
27-12-2025,Tamil Nadu,Krishnagiri,635002,14,4
27-12-2025,Tamil Nadu,Krishnagiri,635111,1,1
27-12-2025,Tamil Nadu,Krishnagiri,635114,12,11
27-12-2025,Tamil Nadu,Krishnagiri,635201,17,5
27-12-2025,Tamil Nadu,Krishnagiri,635204,30,9
27-12-2025,Tamil Nadu,Krishnagiri,635206,31,4
27-12-2025,Tamil Nadu,Krishnagiri,636806,0,1
28-12-2025,Tamil Nadu,Krishnagiri,635103,3,1
28-12-2025,Tamil Nadu,Krishnagiri,635115,5,1
28-12-2025,Tamil Nadu,Krishnagiri,635118,4,2
28-12-2025,Tamil Nadu,Krishnagiri,635122,2,0
28-12-2025,Tamil Nadu,Krishnagiri,635201,6,2
28-12-2025,Tamil Nadu,Krishnagiri,636902,1,0
