date,state,district,pincode,demo_age_5_17,demo_age_17_
16-10-2025,Tamil Nadu,Krishnagiri,635001,9,26
16-10-2025,Tamil Nadu,Krishnagiri,635002,0,3
16-10-2025,Tamil Nadu,Krishnagiri,635104,1,12
16-10-2025,Tamil Nadu,Krishnagiri,635110,2,16
16-10-2025,Tamil Nadu,Krishnagiri,635113,3,13
16-10-2025,Tamil Nadu,Krishnagiri,635117,2,18
16-10-2025,Tamil Nadu,Krishnagiri,635120,3,9
16-10-2025,Tamil Nadu,Krishnagiri,635121,4,15
16-10-2025,Tamil Nadu,Krishnagiri,635122,5,10
16-10-2025,Tamil Nadu,Krishnagiri,635123,0,4
16-10-2025,Tamil Nadu,Krishnagiri,635126,4,34
16-10-2025,Tamil Nadu,Krishnagiri,635201,2,4
17-10-2025,Tamil Nadu,Krishnagiri,635001,4,14
17-10-2025,Tamil Nadu,Krishnagiri,635103,1,8
17-10-2025,Tamil Nadu,Krishnagiri,635109,6,42
17-10-2025,Tamil Nadu,Krishnagiri,635117,4,18
17-10-2025,Tamil Nadu,Krishnagiri,635120,0,4
18-10-2025,Tamil Nadu,Krishnagiri,635001,9,19
18-10-2025,Tamil Nadu,Krishnagiri,635103,2,4
18-10-2025,Tamil Nadu,Krishnagiri,635104,0,11
18-10-2025,Tamil Nadu,Krishnagiri,635111,0,1
18-10-2025,Tamil Nadu,Krishnagiri,635113,0,7
18-10-2025,Tamil Nadu,Krishnagiri,635119,3,9
18-10-2025,Tamil Nadu,Krishnagiri,635201,0,5
19-10-2025,Tamil Nadu,Krishnagiri,635102,1,5
19-10-2025,Tamil Nadu,Krishnagiri,635105,1,3
19-10-2025,Tamil Nadu,Krishnagiri,635109,8,38
19-10-2025,Tamil Nadu,Krishnagiri,635116,1,1
19-10-2025,Tamil Nadu,Krishnagiri,635117,6,10
19-10-2025,Tamil Nadu,Krishnagiri,635119,0,2
19-10-2025,Tamil Nadu,Krishnagiri,635120,2,6
19-10-2025,Tamil Nadu,Krishnagiri,635124,0,3
19-10-2025,Tamil Nadu,Krishnagiri,635304,2,2
19-10-2025,Tamil Nadu,Krishnagiri,635654,0,1
25-10-2025,Tamil Nadu,Krishnagiri,635002,2,3
25-10-2025,Tamil Nadu,Krishnagiri,635109,7,44
25-10-2025,Tamil Nadu,Krishnagiri,635116,1,4
25-10-2025,Tamil Nadu,Krishnagiri,635120,2,6
25-10-2025,Tamil Nadu,Krishnagiri,635122,5,13
25-10-2025,Tamil Nadu,Krishnagiri,635123,0,5
25-10-2025,Tamil Nadu,Krishnagiri,635203,2,20
25-10-2025,Tamil Nadu,Krishnagiri,635204,2,5
25-10-2025,Tamil Nadu,Krishnagiri,635306,2,8
27-10-2025,Tamil Nadu,Krishnagiri,635001,1,20
27-10-2025,Tamil Nadu,Krishnagiri,635002,1,0
27-10-2025,Tamil Nadu,Krishnagiri,635107,9,12
27-10-2025,Tamil Nadu,Krishnagiri,635108,6,4
27-10-2025,Tamil Nadu,Krishnagiri,635109,17,63
27-10-2025,Tamil Nadu,Krishnagiri,635110,2,12
27-10-2025,Tamil Nadu,Krishnagiri,635113,4,3
