date,state,district,pincode,age_0_5,age_5_17,age_18_greater
03-09-2025,Tamil Nadu,Krishnagiri,635104,1,0,0
03-09-2025,Tamil Nadu,Krishnagiri,635107,3,0,0
03-09-2025,Tamil Nadu,Krishnagiri,635108,2,0,0
03-09-2025,Tamil Nadu,Krishnagiri,635114,0,1,0
03-09-2025,Tamil Nadu,Krishnagiri,635117,5,0,0
03-09-2025,Tamil Nadu,Krishnagiri,635304,2,0,0
03-09-2025,Tamil Nadu,Krishnagiri,636806,1,0,0
02-09-2025,Tamil Nadu,Krishnagiri,635001,9,0,0
02-09-2025,Tamil Nadu,Krishnagiri,635002,1,0,0
02-09-2025,Tamil Nadu,Krishnagiri,635109,7,1,0
02-09-2025,Tamil Nadu,Krishnagiri,635117,7,1,0
01-09-2025,Tamil Nadu,Krishnagiri,635002,2,0,0
01-09-2025,Tamil Nadu,Krishnagiri,635102,2,0,0
01-09-2025,Tamil Nadu,Krishnagiri,635109,9,3,0
01-09-2025,Tamil Nadu,Krishnagiri,635114,1,1,0
01-09-2025,Tamil Nadu,Krishnagiri,635118,1,0,0
01-09-2025,Tamil Nadu,Krishnagiri,635121,6,0,0
01-09-2025,Tamil Nadu,Krishnagiri,635122,1,0,0
01-09-2025,Tamil Nadu,Krishnagiri,635203,1,1,0
01-09-2025,Tamil Nadu,Krishnagiri,635206,3,0,0
01-09-2025,Tamil Nadu,Krishnagiri,635207,3,0,0
04-09-2025,Tamil Nadu,Krishnagiri,635001,4,0,0
04-09-2025,Tamil Nadu,Krishnagiri,635104,2,0,0
04-09-2025,Tamil Nadu,Krishnagiri,635107,4,0,0
04-09-2025,Tamil Nadu,Krishnagiri,635117,2,1,0
04-09-2025,Tamil Nadu,Krishnagiri,635120,1,0,0
04-09-2025,Tamil Nadu,Krishnagiri,636902,1,0,0
06-09-2025,Tamil Nadu,Krishnagiri,635103,0,2,0
06-09-2025,Tamil Nadu,Krishnagiri,635109,6,0,0
06-09-2025,Tamil Nadu,Krishnagiri,635110,1,1,0
